owner,modifier,adjective,type,attribute,value
Ambrose,8,Equal,Cheese,Draconianness,3571
Ammon,4,Fortunate,Lawnmower,Tastyness,18664
Amos,4,Natural,String,Suddenness,13689
Anastacio,4,Apathetic,Hat,Guiltlessness,18704
Anderson,7,Symptomatic,Hammer,Irateness,881
Andre,1,Stingy,Novel,Xenophobicness,9505
Andres,3,Agonizing,Breastplate,Alikeness,10584
Andrew,8,Graceful,Cheezit,Nauseatingness,20558
Andy,4,Instinctive,Chalice,Naiveness,6954
Angelo,5,Cut,Banana,Far-flungness,842
Angus,7,Clever,Rod,Thoughtlessness,1673
Anna,4,Present,Coat,Lyingness,2668
Annie,7,Kaput,Shawl,Vengefulness,16742
Anson,9,Descriptive,Cheese,Leftness,9340
Anthony,1,Victorious,Greatsword,Flippantness,4372
Antoine,3,Wide,Thingamajig,Lovelyness,13249
Anton,5,Brainy,Toe,Fascinatedness,1241
Antone,9,Spotty,Plushie,Wantingness,8959
Antonio,5,Elated,Rod,Lackadaisicalness,13107
Arch,1,Quaint,Shawl,Dryness,3815
Archer,9,Brave,Hat,Pointlessness,40414
Archibald,9,Garrulous,Scalpel,Narrowness,13055
Archie,9,Extra-large,Wand,Stickyness,6468
Arden,1,Woebegone,Greathammer,Powerfulness,15109
Arlie,5,Dynamic,String,Magnificentness,6954
Arlington,5,Condemned,Fish,Classyness,3577
Armand,5,Longing,Scalpel,Axiomaticness,45465
Armstead,3,Young,Coat,Woozyness,14873
Arnold,4,Dusty,Phone,Juvenileness,2943
Aron,4,Living,Spoon,Pushyness,9046
Art,6,Fragile,Mace,Supremeness,32212
Arther,3,Puzzled,Bow,Strangeness,116752
Arthur,3,Mature,Teacup,Ludicrousness,8812
Artie,7,Imaginary,Breastplate,Voicelessness,6031
Arvid,7,Juicy,Toothbrush,Phobicness,11905
Asa,5,Phobic,Sythe,Infamousness,8396
Asberry,7,Plastic,Mace,Closedness,3577
Asbury,7,Aloof,Book,Cheapness,3524
Ashby,8,Lewd,Greatsword,Insidiousness,46788
Asher,5,Swift,Greathammer,Nippyness,18708
Ashley,5,Overjoyed,Eyeball,Worthlessness,1082
Ashton,4,Sparkling,Club,Thunderingness,1834
Atticus,5,Impolite,Helmet,Impoliteness,2696
Aubrey,6,Hallowed,Figurine,Steepness,3390
August,5,Hollow,Shoe,Axiomaticness,8225
Augusta,8,Drunk,Dagger,Homelessness,4812
Auguste,6,Harmonious,Screwdriver,Parsimoniousness,6963
Augustin,6,Unarmed,Thingamajig,Squalidness,13454
Augustine,4,Crazy,Jar,Puzzlingness,6211
Augustus,7,Lacking,Greatsword,Boredness,357
Aurthur,9,Clear,Bow,Tiresomeness,9241
Austin,9,Resolute,Bow,Cumbersomeness,14233
Auther,6,Frequent,Lightsaber,Unusedness,10960
Author,8,Inconclusive,Longsword,Noisyness,34011
Authur,2,Snobbish,Kukri,Annoyingness,29430
Avery,5,Arrogant,Chalice,Absentness,12957
Axel,6,Blue-eyed,Orange,Ovalness,7002
Babe,4,Successful,Spoon,Seemlyness,8412
Bailey,6,Envious,Dagger,Oppositeness,24024
Baldwin,2,Plausible,Club,Abnormalness,10429
Ballard,9,Jumpy,Saw,Boundlessness,90456
Barnett,7,Shocking,Arrow,Truthfulness,13007
Barney,4,Tricky,Teacup,Scatteredness,9764
Bart,3,Amusing,Thingamajig,Shyness,17411
Bartholomew,1,Muddled,Mace,Adaptableness,1846
Barton,5,Skillful,Novel,Responsibleness,3822
Bascom,9,Torpid,Orange,Agreeableness,12453
Basil,5,Shaky,Rod,Temporaryness,15915
Baxter,3,Unarmed,Toothbrush,Hesitantness,7938
Bedford,7,Imperfect,Shoe,Gray greasy greatness,22338
Bee,6,Materialistic,Saw,Certainness,16670
Belton,8,Useless,Jar,Secretness,19758
Ben,3,Common,Lightsaber,Adaptableness,5000
Benedict,3,First,Tome,Overratedness,17387
Benito,5,Right,Toothbrush,Noisyness,27705
Benjaman,8,Automatic,Figurine,Grumpyness,27121
Benjamin,6,Ultra,Lego,Wideness,10420
Benjamine,8,Blue-eyed,Toe,Earlyness,19960
Benjiman,5,Pushy,Lightsaber,Knowingness,5257
Bennett,7,Inquisitive,Cheezit,Decisiveness,19195
Bennie,5,Burly,Gun,Obtainableness,22357
Benton,9,Drunk,Cheese,Feeble feignedness,29485
Bernard,8,Illustrious,Jar,Daffyness,19225
Bernhard,3,Gleaming,Lawnmower,Elatedness,19135
Bernie,2,Daily,Orange,Troubledness,19101
Berry,4,Clean,Orange,Wrongness,28026
Bert,3,Warlike,Club,Flawlessness,113928
Bertha,5,Jumbled,Gun,Ultraness,7433
Bertie,1,Hurt,Toe,Marriedness,13960
Berton,8,Demonic,Maul,Grateful gratisness,18252
Bertram,8,Needless,Curd,Nearness,68338
Bertrand,5,Abortive,Saw,Squalidness,11122
Bessie,6,Makeshift,Toe,Thickness,32136
Beverly,1,Ubiquitous,Hat,Spikyness,862
Bill,2,Irate,Club,Hushedness,11403
Billie,6,Abaft,Book,Glistening gloriousness,140
Billy,5,Spectacular,Club,Sleepyness,5627
Bird,8,Rare,Lightsaber,Easyness,76416
Birt,5,Purple,Curd,Sloppyness,13109
Bishop,5,Oval,Mace,Clutteredness,861
Blaine,2,Needless,Eyeball,Incandescentness,5169
Blair,7,Scattered,Toe,Ordinaryness,16300
Blas,5,Flagrant,Jar,Shaggyness,119847
Bob,3,Friendly,Putty,Remarkableness,6065
Boss,8,Cruel,Mace,Plantness,123240
Boston,8,Internal,Arrow,Materialisticness,1993
Boyd,5,Unkempt,Hammer,Handsomeness,13280
Brad,3,Toothsome,Helmet,Combativeness,42953
Bradford,5,Wanting,Breastplate,Mysteriousness,1730
Bradley,6,Flawless,Bow,Truculentness,1626
Brice,7,Wide,Scalpel,Toughness,11921
Brooks,3,Lopsided,Jar,Terrificness,17496
Brown,4,Near,Jar,Forgetfulness,12001
Bruce,4,Tough,Stick,Materialisticness,21909
Bruno,2,Well-groomed,Thingamajig,Billowyness,3406
Bryant,9,Flimsy,Kukri,Ceaselessness,13080
Buck,8,Resolute,Phone,Momentousness,73882
Bud,7,Labored,Kukri,Simpleness,86580
Budd,6,Abortive,Shawl,Nonchalantness,10505
Buford,9,Boring,Figurine,Etherealness,13042
Burke,6,Graceful,Shoe,Grateful gratisness,5122
Burl,5,Wet,Gun,Dynamicness,4387
Burley,7,Inquisitive,Novel,Vivaciousness,33649
Burr,8,Hesitant,Mace,Aheadness,5448
Burrell,1,Quaint,Coat,Itchyness,9479
Burt,7,Foamy,String,Tenuousness,24120
Burton,2,Maniacal,Putty,Medicalness,22629
Buster,4,Organic,Manuscript,Tiresomeness,2863
Butler,7,Inconclusive,Screwdriver,Lackadaisicalness,9462
Byrd,7,Towering,Manuscript,Rhetoricalness,128177
Byron,3,Knowledgeable,Teacup,Vigorousness,20924
Caesar,2,Deserted,Coat,Priceyness,11640
Cal,6,Obeisant,Novel,Organicness,10712
Caleb,7,Bright,Greatsword,Orangeness,2347
Callie,5,Endurable,Necklace,Paleness,642
Calvin,2,Nervous,Greathammer,Steadyness,28495
Cameron,1,Hateful,Putty,Dynamicness,4291
Camille,5,Fragile,Gun,Humorousness,86957
Campbell,9,Various,Thingamajig,Consciousness,10738
Candido,6,Wonderful,Rod,Betterness,6096
Cap,6,Wise,Cheezit,Vengefulness,22526
Carey,7,Damp,Transcript,Disagreeableness,6274
Carl,9,Highfalutin,Toothbrush,Brightness,2934
Carleton,3,Overconfident,Phone,Draconianness,26452
Carlos,3,Opposite,Teacup,Enormousness,35881
Carlton,5,Obtainable,Cheese,Flippantness,9193
Carrie,9,Tasty,Greathammer,Miscreantness,124509
Carroll,8,Quarrelsome,Chalice,Handsomeness,32213
Carson,7,Rigid,Transcript,Demonicness,41760
Carter,8,Present,Orange,Cloudyness,25717
Cary,8,Sick,Book,Ignorantness,3919
Cas,2,Hissing,Twine,Unwrittenness,30287
Casimiro,5,Nonchalant,Text,Adhesiveness,10548
Casper,8,Dramatic,Staff,Ableness,3751
Cass,3,Educated,Gun,Tightfistedness,16854
Cassius,7,Plant,Breastplate,Grateful gratisness,22178
Cato,5,Innate,Kukri,Absorbingness,3472
Cecil,5,Equable,Manuscript,Coordinatedness,3825
Ceylon,5,Unequaled,Sythe,Scarceness,6485
Chalmer,4,Bite-sized,Cheese,Wildness,26990
Chalmers,3,Uninterested,Rod,Freezingness,19209
Champ,6,Next,Rod,Female fertileness,7710
Chancy,1,Graceful,Book,Redness,63300
Charles,4,Literate,Greathammer,Pumpedness,1823
Charley,7,Obnoxious,Screwdriver,Unevenness,5008
Charlie,2,Alert,Carrot,Utterness,21085
Chas,5,Royal,Rod,Ill-informedness,37233
Chauncey,2,Awful,Shawl,Exoticness,15139
Chesley,1,Rapid,Novel,Hollowness,3575
Chester,1,Paltry,Coat,Untidyness,8562
Chin,7,Encouraging,Gun,Disgustingness,25501
Chris,6,Shallow,Stick,Absorbingness,12858
Christ,6,Incredible,Twine,Animatedness,12247
Christian,6,Well-groomed,Eyeball,Enormousness,5458
Christopher,3,Mixed,Manuscript,Black-and-whiteness,17387
Cicero,3,Ablaze,Maul,Brokenness,11762
Clabe,2,Like,Shiv,Openness,29630
Clair,2,Bitter,Arrow,Teenyness,127
Clara,8,Thin,Lightsaber,Embarrassedness,18254
Clarance,5,Wasteful,Lightsaber,Massiveness,2376
Clare,8,Lively,Manuscript,Coordinatedness,14722
Clarence,7,Jagged,Putty,Stingyness,10891
Clark,7,Crooked,Greatsword,Maliciousness,24311
Clarke,4,Brave,Greathammer,Lovingness,7237
Claud,7,Rebel,Putty,Toughness,11933
Claude,7,Rough,Book,Quarrelsomeness,6193
Claus,2,Exclusive,Cheese,Curiousness,10047
Clay,4,Husky,Greathammer,Greedyness,11659
Clayton,1,Big,Putty,Unequaledness,8727
Clem,3,Wise,Jar,Lastness,2157
Clement,7,Efficient,Teacup,Dampness,12685
Clemente,5,,Hat,Pointlessness,35563
Cleo,1,Pink,Hammer,Overjoyedness,3019
Cleve,2,Massive,Twine,Jitteryness,104800
Cleveland,9,Lively,Lego,Smoothness,11252
Cliff,8,Foolish,Greatsword,Marvelousness,60217
Clifford,2,Hushed,Toe,Necessaryness,63586
Clifton,8,Luxuriant,Fish,Bumpyness,58951
Clint,4,Lavish,Toothbrush,Selectiveness,5280
Clinton,1,Gabby,Tome,Domineeringness,14711
Clovis,9,Swanky,Sythe,Flippantness,47102
Cloyd,7,Obnoxious,Bow,Robustness,20005
Clyde,5,Nonstop,Necklace,Gamyness,8794
Coleman,8,Subsequent,Maul,Thoughtfulness,1654
Coley,1,Harsh,Greatsword,Dispensableness,2883
Colin,4,Teeny,Figurine,Excitedness,13615
Collie,3,Deeply,Lawnmower,Braveness,8564
Collins,8,Regular,Figurine,Shyness,134529
Colonel,2,Broad,Sythe,Squealingness,24504
Columbus,6,Skillful,Banana,Attractiveness,12055
Commodore,9,Childlike,Figurine,Imperfectness,9796
Connie,7,Drab,Manuscript,Difficultness,19331
Conrad,3,Free,Novel,Disturbedness,17239
Conway,7,Animated,Wand,Vagueness,22633
Cooper,7,Acrid,Apple,Fineness,7445
Cora,9,Poised,Jar,Paleness,6851
Cornelious,2,Vast,Hat,Dailyness,25728
Cornelius,2,Silky,Bow,Shrillness,10637
Coy,6,Efficient,Breastplate,Wideness,48362
Craig,7,Brown,Fish,Spectacularness,13001
Crawford,2,Illegal,Lightsaber,Awesomeness,6376
Creed,5,Red,Saw,Exuberantness,15965
Crockett,2,Ordinary,Saw,Damagedness,59280
Cruz,8,Woozy,Coat,Homelyness,14380
Cullen,8,Lean,Manuscript,Deliciousness,18155
Curley,7,Depressed,Screwdriver,Symptomaticness,37047
Curt,8,Painful,Carrot,Cleanness,6844
Curtis,3,Safe,Toothbrush,Raggedness,15270
Cyril,2,Ready,Fish,Outrageousness,14924
Cyrus,5,Zippy,Book,Selectiveness,15751
Daisy,5,Hungry,Toothbrush,Shallowness,14187
Dale,2,Trashy,Shoe,Stupendousness,27129
Dallas,7,Vivacious,Toothbrush,Marvelousness,50452
Dalton,9,Decisive,Maul,Legalness,11396
Damon,1,Flowery,Rod,Grubby gruesomeness,6924
Dan,6,Difficult,Lightsaber,Sableness,114125
Dana,1,Ceaseless,Transcript,Scatteredness,17082
Danial,7,Curious,Breastplate,Subsequentness,3303
Daniel,9,Three,Shiv,Gray greasy greatness,285
Darius,8,Nauseating,Fish,ness,7702
Darrell,1,Second,Transcript,Flimsyness,22777
Darwin,3,Resonant,Fish,Ritzyness,5012
Dave,8,Romantic,Helmet,Colossalness,11805
David,8,Detailed,Cheese,Filthyness,4945
Davie,2,Cloistered,Rod,Giganticness,55234
Davis,1,Halting,Banana,Emptyness,14495
Dayton,4,Likeable,Banana,Meltedness,19276
Dean,6,Aboriginal,Figurine,Woozyness,127956
Dee,2,Satisfying,Carrot,Strongness,56481
Deforest,4,Likeable,Coat,Hissingness,1641
Delbert,3,Womanly,Lego,Exultantness,64789
Dell,3,Cheerful,Bow,Overjoyedness,14750
Delmar,9,Chilly,Lawnmower,Soggyness,31911
Delos,1,Stereotyped,Rod,Abjectness,57012
Dempsey,6,Aggressive,Longsword,Secondness,64461
Denis,5,Infamous,Stick,Fretfulness,19117
Dennie,6,High-pitched,Lawnmower,Disastrousness,11631
Dennis,1,Ultra,Spoon,Nervousness,8513
Denton,4,Scary,Hammer,Modernness,1672
Denver,2,Unaccountable,Thingamajig,Tender tenseness,14537
Dewitt,7,Mere,Thingamajig,Mightyness,5873
Dexter,8,Shaggy,String,Meltedness,7663
Dick,7,Ashamed,Shiv,Rabidness,1300
Dillard,8,Luxuriant,Figurine,Flippantness,24234
Dixon,4,Charming,Rod,Hot hugeness,7588
Doc,2,Discreet,Dagger,Afraidness,829
Dock,5,First,Shiv,Thinkableness,117054
Doctor,9,Icky,Shawl,Uninterestedness,862
Dolph,6,Statuesque,Novel,Joblessness,120578
Dolphus,6,Internal,Book,Ultraness,9653
Domingo,9,Hard,Cheese,Nappyness,9598
Dominick,6,Jaded,Novel,Charmingness,3975
Don,5,Lacking,Coat,Apatheticness,66639
Donald,4,Sturdy,Spoon,Kindheartedness,15100
Dora,5,Conscious,Dagger,Detailedness,15616
Dorsey,9,Glamorous,Apple,Temporaryness,4516
Doss,5,Bewildered,Shiv,Cooingness,14681
Douglas,9,Unruly,String,Educatedness,7466
Dow,9,Permissible,Banana,Tastefulness,26138
Drew,4,Wretched,Hammer,Lackingness,7579
Dudley,7,Even,Tome,Swankyness,34941
Duff,4,Strange,Carrot,Hungryness,20056
Duke,3,Wakeful,Scalpel,Pastness,1257
Duncan,7,Strong,Eyeball,Aloofness,5777
Dwight,6,Pricey,Orange,Clutteredness,12755
Earl,9,Wealthy,Wand,Zippyness,6993
Earle,8,Envious,Scalpel,Crazyness,16505
Early,3,Acid,Wand,Domineeringness,8207
Earnest,8,Addicted,Jar,Omniscientness,40548
Ebb,5,Receptive,Breastplate,Coordinatedness,3948
Ebbie,5,Poised,Rod,Blackness,22025
Eben,4,Flowery,Lego,Aspiringness,10809
Eber,6,Abashed,Twine,Superbness,17752
Ed,3,Ready,Necklace,Impartialness,11138
Edd,3,Fearful fearless,Figurine,Magentaness,12110
Eddie,6,Disastrous,Toe,Crowdedness,129760
Edgar,4,Boiling,Text,Spottyness,18318
Edie,5,Freezing,Curd,Makeshiftness,33611
Edith,6,Gamy,Necklace,Sableness,8724
Edmond,2,Idiotic,Arrow,Braveness,16405
Edmund,8,Vengeful,Shawl,Homelessness,8763
Edna,3,Hurried,Hammer,Worthlessness,119727
Edson,2,Inexpensive,Bow,Milkyness,25769
Edward,9,Envious,String,Leanness,32188
Edwin,2,Three,Spoon,Certainness,6310
Egbert,2,Well-to-do,Fish,Yellowness,6293
Elam,7,Creepy,Cheezit,Meekness,12173
Elbert,5,Troubled,Teacup,Grotesqueness,1246
Elbridge,3,Billowy,Jar,Racialness,1891
Elder,9,Automatic,Wand,Capableness,10042
Eldon,9,Complete,Necklace,Jadedness,15151
Eldridge,9,Cut,Cheezit,Coldness,20320
Eli,8,Creepy,Sword,Afraidness,9143
Elias,3,Quiet,Tome,Illustriousness,7781
Elick,9,Uncovered,Twine,Obsequiousness,45486
Elie,2,Piquant,Fish,Shortness,8279
Eliga,5,Miniature,Breastplate,Smallness,5921
Eligah,6,Big,Hat,Puffyness,6732
Elige,9,Decorous,Curd,Rudeness,3949
Elihu,9,Combative,Bow,Quizzicalness,61337
Elijah,1,Grotesque,Lightsaber,Puzzlingness,13240
Eliseo,6,Quaint,Tome,Skillfulness,5665
Elisha,4,Necessary,Helmet,Variousness,64395
Eliza,2,Statuesque,Coat,Selectiveness,12899
Elizabeth,8,Steep,Chalice,Pastoralness,22197
Elliot,1,Perfect,Lightsaber,Receptiveness,2362
Elliott,6,Skinny,Chalice,Lushness,5866
Ellis,8,Lyrical,Banana,Dailyness,11012
Ellison,6,Same,Club,Priceyness,76754
Ellsworth,2,Childlike,Mace,Fiveness,5070
Elmer,4,Shocking,Lightsaber,Productiveness,1035
Elmo,7,Unable,Sword,Itchyness,8181
Elmore,4,Agreeable,Screwdriver,Hard-to-findness,18700
Elonzo,2,Disgusted,Carrot,Dapperness,1284
Elroy,2,Evanescent,Saw,Synonymousness,44695
Elsie,4,Certain,Longsword,Vulgarness,11738
Elsworth,5,Prickly,Teacup,Fascinatedness,4529
Elton,4,Wide,String,Chubbyness,2848
Elvin,3,Changeable,Cheezit,Specialness,11880
Elvis,6,Ambiguous,Sythe,Saltyness,10135
Elwin,7,Lowly,Coat,Sophisticatedness,3412
Elwood,5,Black-and-white,Spoon,Xenophobicness,16037
Ely,3,Undesirable,Hammer,Nonstopness,8816
Elza,8,Certain,Bow,Meltedness,10509
Elzie,2,Wise,Toe,Painfulness,43644
Emanuel,4,Wiggly,String,Vengefulness,11998
Emerson,4,Itchy,Curd,Knowledgeableness,66013
Emery,6,Dramatic,Shoe,Symptomaticness,10490
Emil,8,Colossal,Sword,Fineness,19023
Emile,3,Numberless,Text,Nearness,7414
Emilio,7,Mushy,Apple,Callousness,21285
Emit,4,Tiresome,Orange,Boringness,13014
Emma,8,Comfortable,Text,Squealingness,14490
Emmet,8,Wide-eyed,Book,Chemicalness,8280
Emmett,4,Relieved,Cheese,Sharpness,34917
Emmitt,3,Rich,Curd,Swankyness,26788
Emory,6,Sweet,Tome,Discreetness,39258
Emry,4,Festive,Book,Amusingness,7112
Ennis,9,Paltry,Plushie,Sweetness,12240
Enoch,7,Eatable,Lightsaber,Matureness,3386
Enos,4,Psychedelic,Breastplate,Militaryness,11381
Enrique,5,Hungry,Twine,Falseness,11392
Ephraim,2,Animated,Greathammer,Trashyness,22860
Ephram,7,Female fertile,Lawnmower,Mundaneness,23965
Ephriam,7,Elastic,Gun,Mountainousness,20317
Erasmus,4,Messy,Hammer,Feeble feignedness,4475
Erastus,9,Enchanting,Kukri,Flagrantness,14818
Eric,7,Grouchy,Toothbrush,Livelyness,520
Erie,7,Clammy,Longsword,Petiteness,555
Ernest,4,Spiffy,Longsword,Unknownness,7847
Ernie,9,Second-hand,Toe,Bizarreness,30023
Ernst,9,Afraid,Maul,Kindness,8532
Ervin,7,Petite,Screwdriver,Threeness,2231
Erving,4,Draconian,Sword,Uppityness,42162
Erwin,3,Knowing,Rod,Disgustedness,9732
Esau,5,Ill,Thingamajig,Longness,15267
Esequiel,7,Superficial,String,Quizzicalness,14782
Essie,8,Sincere,Putty,Lackingness,7901
Esta,7,Ordinary,String,Smoothness,4240
Ethan,8,Nonchalant,Scalpel,Abashedness,82562
Ethel,7,Fanatical,Curd,Adhesiveness,14921
Eugene,1,Flagrant,Hammer,Legalness,5947
Eustace,9,Infamous,Dagger,Differentness,11829
Evan,1,Average,Wand,Unknownness,19780
Evans,5,Ritzy,Necklace,Warlikeness,6933
Everett,9,Tiny,Phone,Statuesqueness,39854
Everette,6,Tightfisted,Bow,Idioticness,117006
Evert,3,Tight,Lego,Tranquilness,31407
Evertt,6,Sick,Rod,Silentness,10941
Ewing,4,Long,Mace,Saltyness,11600
Ezekiel,7,Accidental,Club,Damagingness,2375
Ezra,6,Wealthy,Transcript,Swiftness,54643
Fate,3,Unwritten,Orange,Elfinness,22106
Fay,6,Zonked,Book,Tastefulness,1591
Fayette,1,Macabre,Greathammer,Realness,197
Felipe,6,Tedious,Gun,Rigidness,9164
Felix,5,Toothsome,Shoe,Abashedness,11684
Ferd,9,Loud,Tome,Toughness,12606
Ferdinand,3,Innocent,Tome,Pumpedness,5492
Fernand,2,Phobic,Lego,Xenophobicness,11765
Fernando,4,Voracious,Novel,Callousness,10459
Finis,9,Nonchalant,Curd,Penitentness,7561
Finley,8,Numerous,Coat,Longingness,2314
Firman,7,Craven,Staff,Puzzledness,135040
Fisher,5,Incredible,Apple,Jollyness,32705
Flem,4,Strong,Kukri,Alluringness,16672
Fleming,9,Scintillating,Rod,Psychoticness,6197
Fletcher,5,Responsible,Eyeball,Leanness,3356
Flora,8,Acoustic,Toe,Unknownness,5352
Florence,9,Foolish,Putty,Mundaneness,32762
Floyd,8,Loud,Tome,Well-offness,41231
Ford,5,White,Breastplate,Petiteness,28870
Forest,8,Receptive,Greatsword,Mindlessness,640
Forrest,8,Skinny,Greathammer,Mushyness,72350
Foster,8,Wacky,Jar,Mereness,359
Frances,5,Madly,Toe,Nonchalantness,10943
Francis,1,Groovy,Jar,Excellentness,844
Francisco,9,Untidy,Putty,Complexness,3342
Frank,2,Brainy,Kukri,Miniatureness,43749
Franklin,8,Tender tense,Sythe,Classyness,5868
Fred,2,Political,Shoe,Selectiveness,8884
Freddie,8,Bizarre,Shawl,Mellowness,59594
Frederic,8,Stupid,Figurine,Foamyness,13326
Frederick,9,Splendid,Plushie,Helplessness,40459
Fredric,6,Living,Greatsword,Magicalness,12576
Fredrick,6,Broad,Apple,Zanyness,127982
Freeman,5,Pumped,Saw,Aboundingness,12301
French,8,Separate,Phone,Uppityness,3225
Friend,3,Accurate,Breastplate,Ickyness,8558
Fritz,4,Vast,Wand,Illustriousness,10189
Furman,8,Bloody,Helmet,Cheapness,85465
Gabe,9,Awake,Coat,Manyness,44809
Gabriel,6,Military,Orange,Efficaciousness,87558
Gail,9,Secretive,Fish,Worthlessness,889
Gardner,5,Scarce,Twine,Nondescriptness,3415
Garfield,8,Well-made,Sythe,Elegantness,13479
Garland,3,Wooden,Hat,Rabidness,9626
Garner,4,Guttural H habitual,Kukri,Punyness,15290
Garnett,6,Panicky,Dagger,Hocness,8240
Garret,9,Unusual,Toothbrush,Naturalness,9027
Garrett,4,Penitent,Transcript,Ceaselessness,18978
Garry,2,Deserted,Toe,Unwrittenness,3569
Gary,9,Sulky,Sythe,Truculentness,1272
Gaston,6,Doubtful,Shoe,Teeny-tinyness,48609
Gee,4,Rhetorical,Greatsword,Curlyness,8471
Gene,9,Combative,Orange,Giftedness,6363
General,4,Statuesque,Figurine,Testedness,30852
Geo,6,Upbeat,Book,Relievedness,40404
George,9,Beautiful,Helmet,Rottenness,14895
Gerald,2,Warlike,Jar,Madlyness,7428
Gerhard,7,Curvy,Breastplate,Bustlingness,19265
Gerrit,2,Vagabond,Shoe,Politeness,14967
Gibson,6,Motionless,Longsword,Rampantness,13627
Gideon,7,Empty,Kukri,Wistfulness,3252
Gilbert,6,Aquatic,Dagger,Probableness,73753
Giles,6,Quixotic,Jar,Awesomeness,63438
Glen,8,Thundering,Plushie,Highfalutinness,5304
Glenn,7,Encouraging,Maul,Knownness,51839
Godfrey,1,Astonishing,Lawnmower,Annoyingness,5438
Golden,1,Curly,Rod,Zippyness,4580
Gordon,7,Cooperative,Helmet,Mellowness,4781
Gorge,9,Juvenile,Shoe,Fragileness,15980
Gottlieb,8,Lively,Thingamajig,Abnormalness,37045
Grace,5,Good,Staff,Erraticness,44858
Graham,3,Sticky,Gun,Nonchalantness,84498
Grant,4,Capable,Rod,Decisiveness,15146
Granville,2,Greedy,Eyeball,Brownness,40005
Green,8,Drunk,Scalpel,Vacuousness,122690
Gregg,4,Dark,Eyeball,Ancientness,39469
Gregorio,4,Plucky,Shoe,Flashyness,25701
Gregory,7,Ludicrous,Putty,Whiteness,20428
Griffin,3,Envious,Rod,Milkyness,33198
Grover,6,Abstracted,Breastplate,Toughness,10190
